date,us_driving,us_transit,us_walking,italy_driving,italy_transit,italy_walking
2020-02-01,122.32,103.42,140.8,125.55,107.43,149.16
2020-02-02,85.25,80.2,88.42,111.41,106.2,118.22
2020-02-03,98.86,96.48,92.42,100.52,98.79,108.19
2020-02-04,101.99,97.63,93.82,101.89,99.71,108.79
2020-02-05,101.77,98.26,94.52,103.77,98.91,108.09
2020-02-06,107.72,101.15,97.6,105.58,103.67,111.82
2020-02-07,124.07,110.91,122.23,119.19,114.12,131.64
2020-02-08,122.87,107.27,142.94,129.46,117.08,160.32
2020-02-09,91.58,84.2,92.83,117.1,113.16,118.67
2020-02-10,102.93,98.3,91.94,104.55,108.57,108.86
2020-02-11,106.75,100.64,96.13,108.02,109.4,117.98
2020-02-12,109.02,102.08,99.84,112.5,110.36,122.37
2020-02-13,118.36,106.67,108.3,116.51,117.55,132.34
2020-02-14,145.4,119.06,147.82,139.93,127.08,170.85
2020-02-15,132.51,107.77,158.55,145.29,130.72,194.34
2020-02-16,102.27,91.63,116.26,132.32,125.6,144.17
2020-02-17,110.78,101.73,107.52,110.43,119.01,123.94
2020-02-18,109.46,104.64,100.23,112.72,118.0,131.03
2020-02-19,110.85,105.16,103.21,118.28,120.44,132.99
2020-02-20,114.86,106.16,106.25,120.67,124.06,142.68
2020-02-21,135.85,117.14,136.41,135.58,126.36,158.11
2020-02-22,134.35,110.65,162.45,139.43,126.83,181.74
2020-02-23,99.48,87.27,106.11,114.78,113.18,129.3
2020-02-24,106.23,99.21,99.34,98.2,96.25,107.66
2020-02-25,110.27,100.12,103.03,92.5,81.28,94.26
2020-02-26,112.36,100.52,101.84,89.15,74.29,82.94
2020-02-27,118.85,102.98,107.83,90.16,74.11,83.27
2020-02-28,139.8,116.02,136.34,97.78,76.73,92.59
2020-02-29,138.41,109.92,155.82,100.27,76.34,100.06
2020-03-01,101.04,85.31,102.29,83.48,69.12,65.47
2020-03-02,107.73,98.06,99.2,81.65,67.14,63.94
2020-03-03,112.98,100.26,104.76,85.76,65.83,70.14
2020-03-04,113.05,101.5,104.61,84.99,61.44,71.71
2020-03-05,119.74,103.53,111.67,82.37,59.45,66.63
2020-03-06,139.98,111.5,133.94,84.73,57.32,71.88
2020-03-07,137.37,107.32,155.7,84.19,52.0,76.0
2020-03-08,101.64,84.23,107.77,68.71,46.69,51.9
2020-03-09,109.65,97.1,105.33,54.84,37.69,39.86
2020-03-10,111.34,92.48,103.06,37.32,23.02,29.4
2020-03-11,110.97,89.97,102.34,30.97,19.0,27.09
2020-03-12,108.49,79.08,96.43,23.12,13.06,18.21
2020-03-13,117.01,76.78,105.88,21.55,11.93,18.09
2020-03-14,102.87,64.59,105.24,16.85,10.96,16.08
2020-03-15,76.16,49.93,69.72,15.92,11.13,15.86
2020-03-16,84.09,50.79,69.43,19.58,10.88,15.68
2020-03-17,77.04,43.58,64.05,19.4,10.76,15.33
2020-03-18,72.84,39.63,59.26,19.1,10.22,15.07
2020-03-19,70.21,36.76,56.3,19.82,10.35,15.84
2020-03-20,74.33,35.8,59.59,19.94,10.17,17.33
2020-03-21,62.31,29.31,52.26,16.88,9.51,16.08
2020-03-22,46.45,24.84,39.71,13.22,9.23,11.41
2020-03-23,55.73,28.17,44.31,17.28,9.7,13.05
2020-03-24,55.52,27.91,46.34,17.79,9.29,13.67
2020-03-25,55.24,26.94,46.04,17.69,9.31,12.87
2020-03-26,56.81,27.09,48.25,17.16,8.86,12.67
2020-03-27,62.22,28.07,51.95,17.89,8.43,14.16
2020-03-28,52.56,23.83,44.42,16.53,8.59,14.86
2020-03-29,42.96,22.39,38.29,13.89,9.18,10.97
2020-03-30,53.53,26.51,45.36,17.83,9.5,12.89
2020-03-31,53.98,25.47,45.06,18.85,9.76,13.93
2020-04-01,55.49,25.24,47.41,18.92,9.22,14.45
2020-04-02,55.64,24.67,47.1,19.69,9.61,14.92
2020-04-03,60.61,25.04,50.2,20.08,8.57,16.03
2020-04-04,52.22,22.42,45.77,18.14,8.58,16.48
2020-04-05,42.19,20.92,38.89,15.64,9.25,13.05
2020-04-06,53.73,24.71,46.94,19.96,9.68,14.64
2020-04-07,55.27,24.65,48.7,21.51,11.43,16.42
2020-04-08,56.21,24.51,48.77,23.02,10.18,17.47
2020-04-09,56.9,23.69,46.28,23.97,10.3,19.14
2020-04-10,63.87,24.31,51.97,25.06,10.05,21.25
2020-04-11,57.51,22.65,50.69,22.0,9.27,20.58
2020-04-12,37.42,19.06,34.2,12.66,8.71,11.43
2020-04-13,54.98,23.67,44.06,15.13,10.25,12.05
2020-04-14,59.3,24.44,48.68,21.84,11.23,15.41
2020-04-15,63.03,24.23,50.37,23.68,11.32,17.06
2020-04-16,64.11,24.06,50.64,24.21,11.2,17.77
2020-04-17,70.71,24.89,54.85,24.65,11.22,18.86
2020-04-18,65.07,22.89,52.49,22.42,10.6,19.21
2020-04-19,52.71,22.11,45.86,19.4,11.38,15.37
2020-04-20,65.15,26.13,53.87,22.62,12.05,14.46
2020-04-21,65.0,25.1,51.9,24.26,11.96,16.56
2020-04-22,66.49,25.09,52.86,25.1,12.25,17.21
2020-04-23,68.0,25.08,52.92,26.26,11.41,18.54
2020-04-24,76.68,25.99,58.89,27.09,11.36,20.51
2020-04-25,72.62,24.85,60.0,21.75,10.93,19.33
2020-04-26,57.06,22.47,45.95,22.82,13.16,20.11
2020-04-27,68.77,26.64,54.93,26.3,13.35,19.86
