datetime,italy confirmed cases,italy suspected cases,italy cured cases,italy death cases,us confirmed cases,us suspected cases,us cured cases,us death cases
2020-02-01,2,0,0,0,8,0,0,0
2020-02-02,2,0,0,0,9,0,0,0
2020-02-03,2,0,0,0,11,0,1,0
2020-02-04,2,0,0,0,11,0,1,0
2020-02-05,2,0,0,0,11,0,1,0
2020-02-06,3,0,0,0,12,0,1,0
2020-02-07,3,0,0,0,12,0,3,0
2020-02-08,3,0,0,0,12,0,3,0
2020-02-09,3,0,0,0,12,0,3,0
2020-02-10,3,0,0,0,13,0,3,0
2020-02-11,3,0,0,0,13,0,3,0
2020-02-12,3,0,0,0,14,0,3,0
2020-02-13,3,0,0,0,15,0,3,0
2020-02-14,3,0,0,0,15,0,3,0
2020-02-15,3,0,0,0,15,0,3,0
2020-02-16,3,0,0,0,15,0,3,0
2020-02-17,3,0,0,0,15,0,3,0
2020-02-18,3,0,0,0,15,0,3,0
2020-02-19,3,0,0,0,15,0,3,0
2020-02-20,3,0,0,0,15,0,3,0
2020-02-21,3,0,0,0,15,0,3,0
2020-02-22,79,0,1,2,34,0,3,0
2020-02-23,157,0,2,3,34,0,3,0
2020-02-24,232,0,2,7,53,0,3,0
2020-02-25,323,0,2,11,57,0,3,0
2020-02-26,470,0,3,12,60,0,3,0
2020-02-27,653,0,45,17,60,0,3,0
2020-02-28,653,0,45,17,60,0,3,0
2020-02-29,1128,0,50,29,64,0,3,1
2020-03-01,1713,0,83,41,84,0,3,2
2020-03-02,2084,0,149,52,102,0,3,6
2020-03-03,2502,0,160,79,122,0,3,9
2020-03-04,3144,0,276,107,158,0,8,11
2020-03-05,3927,0,414,148,232,0,8,14
2020-03-06,4680,0,523,197,345,0,10,17
2020-03-07,6012,0,589,233,445,0,10,19
2020-03-08,7424,0,622,366,572,0,10,22
2020-03-09,9220,0,724,463,704,0,10,26
2020-03-10,10149,0,1004,631,900,0,10,29
2020-03-11,12462,0,1045,827,1322,0,15,38
2020-03-12,15385,0,1258,1016,1762,0,31,41
2020-03-13,17660,0,1439,1266,2269,0,31,48
2020-03-14,21157,0,1966,1441,2949,0,49,57
2020-03-15,24938,0,2335,1809,3774,0,56,69
2020-03-16,27980,0,2749,2158,4629,0,56,90
2020-03-17,31506,0,2941,2503,6509,0,106,115
2020-03-18,31506,0,2941,2503,7087,0,106,116
2020-03-19,41035,0,4440,3405,14340,0,125,217
2020-03-20,47021,0,5129,4032,19101,0,125,244
2020-03-21,53578,0,6072,4825,26847,0,176,346
2020-03-22,59138,0,7024,5476,34717,0,178,452
2020-03-23,63927,0,7432,6077,46332,0,178,552
2020-03-24,69176,0,8326,6820,55041,0,378,790
2020-03-25,74386,0,9362,7503,69219,0,616,1054
2020-03-26,80589,0,10361,8215,86004,0,1868,1300
2020-03-27,86498,0,10950,9134,104671,0,2387,1716
2020-03-28,92472,0,12384,10023,124592,0,3231,2227
2020-03-29,97689,0,13030,10779,142537,0,4767,2510
2020-03-30,101739,0,14620,11591,163479,0,5604,3146
2020-03-31,105792,0,15729,12428,189445,0,7082,4075
2020-04-01,110574,0,16847,13155,216154,0,8878,5115
2020-04-02,115242,0,18278,13915,245175,0,10403,6059
2020-04-03,119827,0,19758,14681,277491,0,12283,7144
2020-04-04,124632,0,20996,15362,311616,0,14943,8489
2020-04-05,128948,0,21815,15887,337278,0,17478,9637
2020-04-06,132547,0,22837,16523,367758,0,19788,10981
2020-04-07,135586,0,24392,17127,401608,0,22398,12902
2020-04-08,139422,0,26491,17669,434114,0,23774,14800
2020-04-09,143626,0,28470,18279,469021,0,25932,16675
2020-04-10,147577,0,30445,18849,504780,0,28993,18763
2020-04-11,152271,0,32534,19468,533378,0,32026,20601
2020-04-12,156363,0,34211,19899,559409,0,33115,22071
2020-04-13,159516,0,35435,20465,586057,0,43637,23604
2020-04-14,162488,0,37130,21067,612380,0,48036,25949
2020-04-15,165155,0,38092,21645,641919,0,52196,28399
2020-04-16,168941,0,40164,22170,676676,0,56127,34784
2020-04-17,172434,0,42727,22745,706880,0,58447,32230
2020-04-18,175927,0,44927,23227,740557,0,66648,38979
2020-04-19,178972,0,47055,23660,770564,0,70799,41114
2020-04-20,181228,0,48877,24114,798742,0,72368,42604
2020-04-21,183957,0,51600,24268,824698,0,75050,45297
2020-04-22,187327,0,51600,24648,852703,0,77210,47750
2020-04-23,189973,0,57776,25549,890027,0,82843,50372
2020-04-24,192994,0,60498,25969,924510,0,100795,52296
2020-04-25,195351,0,63120,26384,956375,0,102340,53928
2020-04-26,197675,0,64928,26644,985975,0,109311,55417
2020-04-27,199414,0,66624,26977,1008571,0,113380,56521
